,date,name,type,finishers,location
0,Feb/19/2022,24 Hours of Richmond,24 Hours,10 finishers,"Powhatan, VA"
1,Feb/19/2022,Cabin Fever 50K,50 KM,197 finishers,"New River Gorge National Park, WV"
2,Feb/19/2022,Little Su 50k,50 KM,29 finishers,"Big Lake, AK"
3,Feb/19/2022,Red Dirt Ultra,100 KM,10 finishers,"Provencal, LA"
4,Feb/19/2022,Red Dirt Ultra,100 Miles,13 finishers,"Provencal, LA"
5,Feb/19/2022,Holiday Lake,50 KM,163 finishers,"Appomattox, VA"
6,Feb/19/2022,Run Forest Run,50 KM,38 finishers,"Montesano, WA"
7,Feb/19/2022,24 Hours of Richmond,12 Hours,15 finishers,"Powhatan, VA"
8,Feb/19/2022,North Marin Ridge Run,50 KM,17 finishers,"Lagunitas, CA"
9,Feb/19/2022,The Ranch 50k,50 KM,43 finishers,"Escondido, CA"
10,Feb/19/2022,Moab Red Hot 55k/33k,55 KM,175 finishers,"Moab, UT"
11,Feb/19/2022,Red Dirt Ultra,50 KM,56 finishers,"Provencal, LA"
12,Feb/19/2022,Hagg Lake,50 KM,106 finishers,"Forest Grove, OR"
13,Feb/13/2022,Montara Mountain,50 KM,29 finishers,"Pacifica, CA"
14,Feb/12/2022,Rocky 50,50 Miles,115 finishers,"Huntsville, TX"
15,Feb/12/2022,Outlaw 100 Oklahoma,100 Miles,13 finishers,"Wilburton, OK"
16,Feb/12/2022,963 Beulah Challenge,9 Hours,15 finishers,"Wildwood, MO"
17,Feb/12/2022,The Algonquin 50K,50 KM,200 finishers,"Pocomoke City, MD"
18,Feb/12/2022,Rocky 50,50 KM,162 finishers,"Huntsville, TX"
19,Feb/12/2022,Pemberton Trail,50 KM,51 finishers,"Fountain Hills, AZ"
20,Feb/12/2022,Rocky 50,50 Miles,115 finishers,"Huntsville, TX"
21,Feb/12/2022,Sandhills Trail & Ultra Festival,30 Hours,58 finishers,"Columbia, SC"
22,Feb/12/2022,Black Canyon Ultras,100 KM,515 finishers,"Mayer, AZ"
23,Feb/12/2022,The Algonquin 50K,50 KM,200 finishers,"Pocomoke City, MD"
24,Feb/12/2022,Eagle Ridge,50 KM,30 finishers,"Guntersville, AL"
25,Feb/12/2022,Outlaw 100 Oklahoma,100 Miles,13 finishers,"Wilburton, OK"
26,Feb/12/2022,Outlaw 100 Oklahoma,50 Miles,21 finishers,"Wilburton, OK"
27,Feb/12/2022,Georgia Thrill In The Hills 50K (Fort Yargo),50 KM,89 finishers,"Winder, GA"
28,Feb/12/2022,Rocky 50,50 KM,162 finishers,"Huntsville, TX"
29,Feb/12/2022,Sandhills Trail & Ultra Festival,50 KM,23 finishers,"Columbia, SC"
30,Feb/12/2022,King's Highway Trail Race,50 KM,16 finishers,"Georgetown, SC"
31,Feb/11/2022,Grandmaster Ultras,50 KM,35 finishers,"Littlefield, AZ"
32,Feb/11/2022,Grandmaster Ultras,100 KM,11 finishers,"Littlefield, AZ"
33,Feb/11/2022,The DUC,100 KM,30 finishers,"Pocomoke, MD"
34,Feb/11/2022,Frigus Snowshoe Festival,36 Hours,0 finishers,"Gansevoort, NY"
35,Feb/11/2022,Grandmaster Ultras,50 Miles,24 finishers,"Littlefield, AZ"
36,Feb/11/2022,Grandmaster Ultras,100 Miles,33 finishers,"Littlefield, AZ"
37,Feb/06/2022,Sandy Bottom 8-Hour,8 Hours,43 finishers,"Hampton, VA"
38,Feb/06/2022,Iron Horse 100 Mile Endurance Run,100 KM,10 finishers,"Florahome, FL"
39,Feb/06/2022,Gone Loco,33 Miles,20 finishers,"Athens, TN"
40,Feb/06/2022,Sandy Bottom 8-Hour,8 Hours,43 finishers,"Hampton, VA"
41,Feb/06/2022,Iron Horse 100 Mile Endurance Run,50 Miles,28 finishers,"Florahome, FL"
42,Feb/05/2022,ICY-8,8 Hours,50 finishers,"Lake Anna State Park, VA"
43,Feb/05/2022,Sycamore Canyon 100k & 50k,50 KM,31 finishers,"San Diego, CA"
44,Feb/05/2022,Frozen 50K,50 KM,14 finishers,"Cassadaga, NY"
45,Feb/05/2022,John Dick Memorial 50K,50 KM,59 finishers,"Dousman, WI"
46,Feb/05/2022,Q50 Races Trail Extravaganza,39 Miles,6 finishers,"Franklinton, LA"
47,Feb/05/2022,Happy Chinese New Year,100 KM,5 finishers,"San Diego, CA"
48,Feb/05/2022,Elephant Mountain,50 Miles,34 finishers,"Cave Creek, AZ"
